Booking ID,Guest Name,Gender,Age,Contact Number,Email,Room Type,Room Number,Nights,Check-in Date,Check-out Date,Total Cost,Payment Status,Payment Method,Special Requests,Loyalty Member,Booking Source,City
B0031,Jamie Walter,Male,25,227.706.5467x57812,samanthahansen@gmail.com,Suite,734,2,2024-10-17,2024-10-19,12944,Pending,UPI,None,No,Website,North Craigburgh
B0032,Kristin Harris,Female,20,1141072057,bandrade@yahoo.com,Suite,335,9,2025-05-11,2025-05-20,17828,Paid,UPI,Late check-out,No,Walk-in,Martinezview
B0033,Whitney Rodriguez,Male,67,421-772-1678x663,lsheppard@yahoo.com,Deluxe,945,6,2025-04-01,2025-04-07,15530,Pending,Cash,Late check-out,Yes,Walk-in,South Stephanie
B0034,Brenda Nelson,Other,19,001-571-081-8453x54996,michael21@gmail.com,Deluxe,503,7,2025-05-27,2025-06-03,9828,Pending,UPI,Late check-out,Yes,Walk-in,Stephenview
B0035,Shannon Keller,Female,42,854-719-3712x977,perrygilbert@whitehead.com,Suite,556,5,2024-11-20,2024-11-25,3508,Cancelled,Card,Extra pillows,Yes,Walk-in,Port Reneechester
B0036,Phillip Figueroa,Other,55,678-064-3343x69887,kingdennis@brooks.com,Standard,637,9,2025-07-27,2025-08-05,8565,Paid,UPI,None,No,Travel Agent,Port Peggyville
B0037,Becky Palmer,Female,27,983-232-5995x96126,pamela66@hotmail.com,Standard,878,1,2025-06-14,2025-06-15,19586,Cancelled,Online,None,No,Walk-in,South Julieland
B0038,Zachary Miller,Female,56,001-039-526-3218x6491,melissahardin@gonzalez.info,Deluxe,951,4,2024-11-20,2024-11-24,6627,Pending,Cash,None,Yes,Website,Port Timothyhaven
B0039,Laura Garcia,Other,23,001-831-163-0800x124,john88@yahoo.com,Deluxe,674,6,2024-11-26,2024-12-02,4778,Paid,Cash,None,No,Walk-in,Nicholsside
B0040,Johnny Hunter,Male,67,233-359-3894x302,stephenhansen@hotmail.com,Standard,820,4,2024-10-17,2024-10-21,19740,Paid,UPI,Vegan meals,No,App,Joseside
B0041,Matthew Fleming,Male,70,+1-870-422-3889x28094,jonestonya@smith.com,Deluxe,843,1,2024-10-20,2024-10-21,16085,Cancelled,Cash,Extra pillows,No,Walk-in,North Jessicashire
B0042,Stephanie Warner,Male,48,634-276-3550,bmaxwell@gordon.com,Deluxe,528,1,2025-07-06,2025-07-07,19280,Cancelled,Online,Late check-out,No,Website,Scottshire
B0043,Debbie Phillips,Other,40,001-291-701-2408x149,scott95@burns.com,Standard,756,3,2025-07-15,2025-07-18,8565,Paid,Card,Late check-out,No,App,Jennifertown
B0044,Scott Gonzalez,Female,21,586-396-6670,jimfarmer@dean-hughes.com,Standard,402,6,2025-06-20,2025-06-26,17225,Pending,Online,None,Yes,Walk-in,West Michaelside
B0045,Dr. Bethany Bowers,Male,60,001-332-304-1722x66455,jennifer40@morrison.com,Suite,819,3,2025-07-28,2025-07-31,17190,Paid,Online,Extra pillows,Yes,Travel Agent,Jonesstad
B0046,Craig Stevens,Male,18,481-323-3723x4124,thodge@hotmail.com,Deluxe,456,2,2025-03-15,2025-03-17,17665,Paid,UPI,Late check-out,Yes,Walk-in,Jacquelinestad
B0047,Tyler Reyes,Female,36,113.689.4570x0516,robinsonashley@mclaughlin.com,Suite,906,3,2025-07-02,2025-07-05,19075,Pending,Cash,Extra pillows,Yes,App,Port Erika
B0048,Deborah Kerr,Other,47,(063)790-9285,tristan69@yahoo.com,Deluxe,712,6,2024-09-06,2024-09-12,8424,Pending,Cash,Vegan meals,No,Website,Port Rebecca
B0049,Rodney Thomas,Other,30,001-977-461-5310x28587,gpotter@ortiz.com,Deluxe,754,2,2025-05-30,2025-06-01,13894,Cancelled,Online,None,Yes,Travel Agent,Hancockside
B0050,James Martinez,Male,30,001-098-517-7552,ryan51@hotmail.com,Deluxe,178,6,2025-02-20,2025-02-26,2885,Paid,Card,Extra pillows,Yes,Walk-in,Hillburgh
B0051,Molly Sullivan,Female,60,157-997-8655x15269,jacob45@ingram.com,Standard,187,10,2025-06-07,2025-06-17,6996,Cancelled,UPI,None,Yes,App,New Krystal
B0052,Steven Benitez,Female,18,957.877.8487x2646,charles73@whitehead.com,Standard,834,6,2025-03-18,2025-03-24,17586,Paid,UPI,Extra pillows,Yes,Walk-in,Sandrafort
B0053,Michael Perry,Other,28,738-734-2727,sblankenship@hotmail.com,Suite,237,1,2025-02-06,2025-02-07,4608,Paid,Cash,Vegan meals,No,Website,Port Maryhaven
B0054,Allison Harper,Male,67,429.207.1340x200,kylewolfe@hotmail.com,Standard,573,9,2025-03-03,2025-03-12,11988,Pending,Online,Extra pillows,No,Walk-in,Cookside
B0055,Desiree Smith,Male,24,(156)071-7881,lindsayrichardson@hotmail.com,Deluxe,596,1,2025-02-03,2025-02-04,11349,Paid,UPI,Vegan meals,No,Walk-in,East April
B0056,Teresa Stanton,Male,59,001-658-969-4855x39099,latoya82@yahoo.com,Suite,635,5,2025-08-28,2025-09-02,15016,Paid,Online,None,No,Website,Robertsstad
B0057,Ricky Barnes,Male,51,(250)762-4145x5857,colleen48@yahoo.com,Suite,592,3,2024-10-14,2024-10-17,2942,Pending,Online,None,No,Walk-in,Williamsmouth
B0058,Manuel Howell,Male,60,071-554-6920x627,jennifertate@boyd.com,Suite,151,4,2024-09-23,2024-09-27,12453,Pending,Card,Extra pillows,No,App,West Corybury
B0059,Vincent Brown,Male,70,001-388-821-1866x61857,cedwards@yahoo.com,Suite,600,4,2024-10-21,2024-10-25,17034,Cancelled,Cash,Extra pillows,Yes,App,Richborough
B0060,Christopher Harvey,Other,56,+1-952-186-5061x07004,karen36@goodwin.org,Deluxe,419,4,2025-05-31,2025-06-04,17250,Cancelled,UPI,Extra pillows,No,App,Stevenston
B0061,Aimee Morrow,Male,64,001-068-061-8113x8908,vlindsey@gmail.com,Suite,602,10,2024-11-18,2024-11-28,3189,Cancelled,Online,Vegan meals,Yes,Walk-in,Nelsonburgh
B0062,Maurice Finley Jr.,Other,33,+1-517-428-2719x275,stevenslaura@gmail.com,Deluxe,964,8,2025-06-22,2025-06-30,9285,Paid,Card,None,Yes,Walk-in,Tranborough
B0063,Frank Stephens,Other,49,(938)084-4018,wilsonkathleen@gmail.com,Suite,903,5,2024-09-14,2024-09-19,19314,Paid,Online,Vegan meals,No,Website,Melissaton
B0064,Andrew Crawford,Male,46,(146)218-0438x3722,robinsonkevin@gmail.com,Deluxe,299,1,2024-11-14,2024-11-15,9106,Paid,UPI,Late check-out,No,App,East Craigtown
B0065,Andrew Hinton,Other,38,006-490-6026x685,john91@hotmail.com,Standard,633,8,2025-08-01,2025-08-09,16762,Cancelled,Cash,Extra pillows,No,Website,Davidstad
B0066,Michael Bailey,Other,43,225-554-8531x48008,yrogers@hotmail.com,Suite,905,3,2025-04-01,2025-04-04,9650,Cancelled,Online,Extra pillows,No,Travel Agent,West Travisland
B0067,Carlos Rodriguez,Other,52,(863)093-1997x22172,yrodriguez@hotmail.com,Deluxe,138,3,2024-09-22,2024-09-25,19225,Cancelled,Cash,Late check-out,Yes,Website,Deckerfort
B0068,Ariel Dominguez,Female,24,7084102238,lopezpatty@ritter-hernandez.com,Suite,441,4,2025-02-04,2025-02-08,6059,Paid,Card,None,No,Website,Taylorview
B0069,James Johnson,Female,65,9600384075,fharris@gmail.com,Deluxe,854,6,2025-07-27,2025-08-02,7429,Paid,Online,Vegan meals,No,App,West Lorifort
B0070,David Holmes,Female,19,001-311-904-0501x09454,paulortiz@braun.org,Standard,347,5,2025-03-30,2025-04-04,14929,Pending,Online,None,No,Walk-in,Stacyland
B0071,Kendra Snyder,Other,31,001-001-756-6854x81009,melanierodriguez@yahoo.com,Deluxe,346,3,2024-09-04,2024-09-07,19823,Paid,UPI,None,Yes,Travel Agent,Lake Michaeltown
B0072,James Kelly,Male,63,193-985-5492,sarellano@hotmail.com,Suite,839,9,2025-07-05,2025-07-14,8068,Cancelled,Card,Vegan meals,No,Walk-in,Trevorside
B0073,Dr. Judith Miles DDS,Other,34,403-796-2753,alex82@gmail.com,Suite,854,3,2025-07-21,2025-07-24,10033,Cancelled,Card,Extra pillows,Yes,Travel Agent,East Brianberg
B0074,Anita Brown,Male,26,387.968.2700,lopezkathryn@holden.com,Suite,370,4,2024-12-09,2024-12-13,10583,Paid,UPI,Late check-out,No,App,Burnsshire
B0075,Melinda Li,Male,53,112-932-4958x6438,butlerjose@oconnor-burnett.com,Deluxe,641,3,2025-05-01,2025-05-04,2106,Cancelled,Online,Late check-out,Yes,Walk-in,Smithton
B0076,Jacob Juarez,Male,42,+1-917-380-2978x5934,cassandravalencia@gmail.com,Deluxe,637,10,2025-08-31,2025-09-10,15950,Paid,Cash,Late check-out,No,App,Kevinmouth
B0077,Darrell Henderson,Male,26,233.688.6931,qholmes@gmail.com,Suite,473,1,2025-03-23,2025-03-24,5807,Pending,Cash,Vegan meals,Yes,Website,Joneschester
B0078,Christopher Lowery,Other,37,5438850250,ppetersen@kramer-owens.com,Standard,370,5,2025-05-11,2025-05-16,12088,Cancelled,Card,Extra pillows,Yes,App,Larrychester
B0079,Adam Newman,Other,36,292-169-2231,lbrown@haney.com,Suite,393,2,2025-01-11,2025-01-13,12826,Paid,Online,Vegan meals,Yes,Walk-in,Williamsmouth
B0080,Richard Medina,Male,49,(059)138-7071x26772,amywilliams@hotmail.com,Standard,607,8,2025-09-03,2025-09-11,12353,Paid,Cash,Vegan meals,No,Walk-in,Maryburgh
B0081,Susan Crawford,Female,51,283-986-7415x8703,desireemorris@yahoo.com,Deluxe,581,6,2025-05-15,2025-05-21,9173,Pending,Card,Vegan meals,Yes,Website,Victorborough
B0082,Stephen Wagner,Male,55,104-599-5372,yolanda76@hoffman.info,Standard,174,8,2025-05-06,2025-05-14,19419,Cancelled,UPI,None,No,Walk-in,Lake Donaldland
B0083,Michael Zuniga,Male,21,402.748.6288,hmartin@yahoo.com,Suite,328,1,2025-05-02,2025-05-03,2089,Paid,Online,Late check-out,No,Walk-in,Kristenville
B0084,Brandon Krueger,Female,37,591.805.8884,ajackson@riley-wells.com,Standard,479,10,2025-06-28,2025-07-08,18013,Cancelled,Card,Extra pillows,No,Walk-in,South Benjamintown
B0085,Michele Turner,Female,59,1224214229,wallaceelizabeth@yahoo.com,Suite,984,9,2025-08-22,2025-08-31,18194,Cancelled,Online,Vegan meals,No,Walk-in,Robertfort
B0086,Brian Cole,Other,35,+1-175-121-1973x4728,cpotts@moore.net,Standard,820,6,2025-06-09,2025-06-15,13086,Cancelled,UPI,Extra pillows,No,Travel Agent,East Johnview
B0087,Richard Adams,Male,38,+1-343-880-1355x4738,richardsontara@henry.biz,Suite,562,9,2025-06-03,2025-06-12,18637,Paid,Card,Extra pillows,Yes,Walk-in,Harrisfurt
B0088,Andrea Smith,Other,46,001-215-095-0767,fitzgeraldanthony@perry-golden.info,Suite,314,5,2024-10-18,2024-10-23,15877,Paid,Online,Late check-out,Yes,App,South Mark
B0089,David Lee,Female,60,8691749652,thomascastaneda@robinson.biz,Deluxe,296,2,2025-02-15,2025-02-17,9941,Paid,UPI,None,Yes,Walk-in,Port Kayla
B0090,Antonio Mayer,Male,54,5097161187,laurataylor@robinson.biz,Standard,608,9,2025-02-11,2025-02-20,18761,Pending,Card,None,No,Walk-in,Aliciabury
B0091,Tanya Garrett,Male,24,367-022-8748x25906,cbrown@gmail.com,Deluxe,492,9,2024-10-14,2024-10-23,2678,Cancelled,Cash,Late check-out,No,Website,Beasleyfort
B0092,Kristen Warner,Other,49,732-942-0665x5785,nancy91@fischer-henry.biz,Standard,448,7,2024-12-16,2024-12-23,3246,Paid,Card,Vegan meals,Yes,Website,East Jorgefurt
B0093,Todd Lopez DVM,Other,45,(383)875-4197x35006,yjones@king-white.org,Suite,344,9,2024-12-22,2024-12-31,2418,Pending,Card,Late check-out,Yes,Website,Allenfurt
B0094,Jose Chavez,Female,18,+1-711-460-0174,kimberly77@hotmail.com,Suite,481,1,2024-11-24,2024-11-25,2100,Cancelled,Cash,Vegan meals,No,Website,Paulside
B0095,Stephanie Johnson,Other,50,554-484-7043x63488,jamesmyers@yahoo.com,Suite,409,2,2025-03-02,2025-03-04,2273,Cancelled,Online,Late check-out,No,Walk-in,West Saraport
B0096,Mary Edwards,Other,62,470-510-1662,shannon04@parsons-armstrong.com,Standard,106,1,2025-03-31,2025-04-01,14813,Cancelled,Cash,Extra pillows,No,Website,Port Andrewstad
B0097,Ashley Collins,Other,34,+1-154-257-5948,riceadam@flores-brady.com,Deluxe,944,3,2025-08-27,2025-08-30,14663,Paid,Card,Late check-out,No,Website,North Allen
B0098,Teresa York,Female,51,(745)790-1618,allison78@gmail.com,Suite,437,5,2025-06-11,2025-06-16,9377,Paid,Online,Late check-out,Yes,Website,Schwartzburgh
B0099,Jaime Baird,Male,63,218.863.3823x5027,rrowland@hernandez.biz,Suite,192,5,2025-08-20,2025-08-25,12317,Cancelled,Cash,Extra pillows,No,Website,Lisamouth
B0100,Miss Teresa Gregory,Other,56,001-451-151-6469x4370,brobinson@morris.com,Standard,654,8,2025-08-04,2025-08-12,5308,Pending,Online,Extra pillows,No,Travel Agent,Lopezton
B0101,Cheryl Baxter,Other,33,001-478-290-4741x7692,burtonandrew@gmail.com,Suite,275,9,2025-01-11,2025-01-20,14352,Cancelled,Card,Late check-out,Yes,Website,North Kristabury
B0102,Brian Olsen,Other,35,(243)354-3710x347,brandon83@martin.com,Deluxe,518,3,2025-08-20,2025-08-23,19201,Cancelled,Card,Vegan meals,No,Website,Taylorburgh
B0103,Barbara Ross,Female,63,+1-352-271-2556,cobbbryan@sandoval-callahan.biz,Standard,338,2,2025-03-22,2025-03-24,5452,Cancelled,Cash,None,No,Travel Agent,Jefferyview
B0104,Kristen Brown,Other,40,176-333-2239x9904,henryjames@hotmail.com,Standard,365,1,2025-05-14,2025-05-15,16769,Cancelled,Card,Extra pillows,No,Website,South Lisafort
B0105,Tammy Medina,Other,50,(420)376-2150x3775,sking@yahoo.com,Standard,717,3,2025-03-31,2025-04-03,4233,Pending,Card,Vegan meals,Yes,App,Crystalshire
B0106,Craig Hall,Female,64,590.007.0865x11214,rachelmercado@garcia.com,Suite,275,10,2025-06-16,2025-06-26,16059,Paid,Cash,Extra pillows,No,Walk-in,Millerhaven
B0107,Evan Bryant,Male,63,(711)443-6129x024,gmartin@gmail.com,Deluxe,283,5,2025-07-13,2025-07-18,10592,Cancelled,UPI,Late check-out,Yes,Walk-in,Leachmouth
B0108,Dustin Rogers MD,Female,44,248.288.5358,johnfischer@gmail.com,Suite,290,2,2025-01-12,2025-01-14,16374,Pending,Cash,Late check-out,Yes,Travel Agent,Kylefort
B0109,Katrina Davis,Male,57,001-204-237-5907,njohnson@hotmail.com,Deluxe,350,10,2025-08-04,2025-08-14,16601,Paid,Card,None,Yes,App,New Kimberlyville
B0110,Jeremy Schmidt,Other,22,001-546-551-3419,jacoblawson@gmail.com,Suite,439,6,2025-08-02,2025-08-08,6349,Cancelled,Cash,Vegan meals,Yes,App,Steveland
B0111,Linda Wang,Female,40,001-058-343-5188x9390,jgould@wilson.biz,Standard,843,6,2025-04-21,2025-04-27,4744,Cancelled,Card,Late check-out,Yes,App,South Timothy
B0112,Brenda Gonzalez,Male,60,181.288.7548x1901,judymorales@yahoo.com,Standard,636,10,2024-11-30,2024-12-10,11138,Paid,Cash,Vegan meals,No,Website,Changmouth
B0113,Christopher Wheeler,Male,61,899.464.9046x2670,carl57@blackburn-spears.biz,Deluxe,685,8,2025-07-30,2025-08-07,16803,Paid,Online,None,No,Travel Agent,Kevinbury
B0114,Janice Hanson,Other,19,+1-250-245-9825,amberedwards@hotmail.com,Deluxe,793,2,2024-11-07,2024-11-09,8089,Paid,Card,Late check-out,No,App,West Geraldchester
B0115,Michele Leonard,Other,63,306-379-0638,kgalloway@gould-stout.org,Deluxe,989,1,2024-10-29,2024-10-30,8820,Cancelled,Cash,Late check-out,Yes,Website,West Jeffrey
B0116,Jody Lara,Other,22,4113610629,huffmankelsey@hill.info,Standard,401,4,2025-06-26,2025-06-30,11898,Pending,Card,None,No,App,Jameschester
B0117,Mark Boyd,Female,33,0770366104,cmckenzie@johnston-jennings.info,Suite,706,8,2025-07-15,2025-07-23,6082,Pending,Online,None,Yes,Travel Agent,West Tracey
B0118,James Fernandez,Other,44,747-243-9438x838,nicholas51@ingram-graves.com,Suite,668,1,2024-11-21,2024-11-22,14306,Pending,Cash,Extra pillows,Yes,Travel Agent,East Jeremyberg
B0119,Juan Turner,Other,43,001-769-722-4184x77489,sarapearson@parker.net,Standard,893,6,2025-03-13,2025-03-19,17758,Paid,Online,Extra pillows,No,App,Stephenbury
B0120,Elizabeth Jenkins,Male,69,(916)835-2619,sanderssean@keller.com,Suite,857,6,2024-12-03,2024-12-09,5332,Paid,Cash,Extra pillows,No,Website,Washingtonborough
B0121,Randy Anderson,Female,45,222-411-2672x3292,jeffrey12@yahoo.com,Standard,680,8,2024-12-01,2024-12-09,9526,Cancelled,Cash,Vegan meals,Yes,Walk-in,Lake Jessicaburgh
B0122,Ashley Thornton,Other,57,693.680.2009x24629,howarddaniel@moreno.biz,Suite,675,4,2025-02-11,2025-02-15,2832,Pending,Card,Extra pillows,Yes,Website,Paulport
B0123,Dana Bailey,Female,47,001-642-371-1259x6782,brianchung@hardy.com,Standard,902,7,2024-09-05,2024-09-12,6854,Pending,Online,Vegan meals,Yes,App,Port Julie
B0124,Toni Wilson,Female,65,(382)651-3165,bramsey@suarez-mccarthy.com,Standard,120,9,2025-02-11,2025-02-20,7156,Pending,Online,Late check-out,Yes,Travel Agent,South Michaelchester
B0125,Michael Camacho,Male,59,048-831-6293x362,jennifermoss@gmail.com,Standard,362,10,2025-01-21,2025-01-31,4030,Pending,Online,None,No,Website,North Kelsey
B0126,Steven Wall,Male,67,529.556.4103x94444,jasonwoods@hotmail.com,Standard,870,3,2025-05-21,2025-05-24,9975,Cancelled,Online,Vegan meals,No,Travel Agent,East Michael
B0127,Michael Peterson,Other,22,(955)686-5472x49183,meganmcdaniel@hill-johnson.biz,Standard,622,6,2024-11-05,2024-11-11,8526,Paid,Cash,Vegan meals,No,Travel Agent,New Robert
B0128,Peter Rivera,Male,28,+1-581-103-5052,ucole@yahoo.com,Deluxe,630,2,2024-12-09,2024-12-11,11004,Pending,Cash,Late check-out,No,Walk-in,Lake Douglasbury
B0129,Melvin Chapman,Male,59,304.645.0266,marybradshaw@hernandez-oliver.biz,Standard,841,6,2025-08-12,2025-08-18,10029,Paid,Cash,None,No,App,North Denise
B0130,Tammy Wright,Male,37,001-242-644-2471x2927,armstrongnatasha@day.biz,Deluxe,486,3,2025-04-28,2025-05-01,10604,Paid,Card,Vegan meals,No,Website,Garciachester
B0131,Katherine Davis,Male,18,(989)843-6327x7046,julia71@sloan-holland.com,Deluxe,387,9,2025-02-09,2025-02-18,19466,Pending,Card,Vegan meals,Yes,Website,Port Robertbury
B0132,Stacy Lewis,Female,29,(689)470-3486x8074,dzamora@hotmail.com,Deluxe,135,5,2025-05-27,2025-06-01,5594,Paid,UPI,None,Yes,Website,Lopezside
B0133,Gabrielle Wilson,Female,38,1428840194,nataliepugh@gmail.com,Deluxe,358,10,2025-05-04,2025-05-14,8020,Cancelled,UPI,Vegan meals,Yes,Travel Agent,New Scottchester
B0134,Jennifer Smith,Female,64,238-310-4948,qevans@gmail.com,Deluxe,632,10,2025-06-24,2025-07-04,8957,Cancelled,UPI,Extra pillows,Yes,Travel Agent,Allisonmouth
B0135,Victoria Powell,Female,40,154-235-2155,savannahleblanc@hughes.com,Standard,421,10,2025-07-29,2025-08-08,3403,Cancelled,Online,Vegan meals,Yes,App,New Brenda
B0136,Anna Griffin,Other,70,001-148-350-0524x40846,jordanrobert@scott-palmer.info,Standard,599,10,2024-10-30,2024-11-09,8744,Paid,Card,Late check-out,No,App,Leeton
B0137,Anthony Schneider,Female,65,3622587658,kathrynmorales@yahoo.com,Standard,572,4,2024-12-24,2024-12-28,5160,Cancelled,Cash,Vegan meals,No,Travel Agent,New Christineview
B0138,Laura Hernandez,Other,62,112-093-9232x5183,meganhouston@cooper.com,Suite,172,4,2025-07-26,2025-07-30,8180,Cancelled,Online,Extra pillows,No,Walk-in,East Katelyn
B0139,Kari Davis,Male,37,852-133-4967,nicolecollins@chavez.com,Suite,202,9,2024-12-17,2024-12-26,8963,Paid,Online,Extra pillows,No,Website,South Joyburgh
B0140,Patrick Obrien,Male,38,047.478.6347x8959,marilyn50@hotmail.com,Deluxe,118,6,2025-04-27,2025-05-03,17427,Paid,Card,Late check-out,Yes,Website,West Diamondview
B0141,Manuel Perry,Other,45,(229)809-7616x069,michaeltaylor@gmail.com,Standard,420,3,2025-01-23,2025-01-26,13094,Cancelled,UPI,Vegan meals,No,App,Calvinberg
B0142,Shane Jones,Male,44,(528)862-2286,gonzalezandrew@murphy-singh.com,Deluxe,523,6,2025-01-13,2025-01-19,8683,Pending,Online,Vegan meals,No,Website,South Julie
B0143,Charles Caldwell,Male,18,664-967-2539x697,marc21@charles.com,Suite,245,5,2025-08-14,2025-08-19,10427,Cancelled,UPI,None,No,App,West David
B0144,Eugene Davila,Male,52,8653593695,breanna38@gmail.com,Deluxe,792,4,2025-05-03,2025-05-07,14460,Cancelled,Online,Extra pillows,Yes,Travel Agent,Bradshawshire
B0145,Joel Brooks,Male,49,001-816-220-4908x83152,michael21@gmail.com,Standard,212,3,2024-10-31,2024-11-03,4024,Cancelled,Online,Late check-out,No,Walk-in,New Katherine
B0146,Mr. Andrew Duke,Other,49,(001)508-8158x80201,norrisjay@mcintyre.biz,Deluxe,406,4,2025-02-28,2025-03-04,5548,Cancelled,UPI,Vegan meals,No,Travel Agent,Penningtontown
B0147,Christopher Haynes,Other,53,208-361-5367x27246,hmooney@duran.com,Suite,435,7,2024-10-10,2024-10-17,10456,Pending,UPI,Extra pillows,Yes,Walk-in,Lake Michaelfort
